generation, team A best, team A current, team B best, team B current, Dropped %
2, 100000, 0.500000004470348, 0.400000002980232, 0.400000002980232, 0
3, 0.300000001490116, 0.300000001490116, 0.400000002980232, 0.400000002980232, 0.1904762
4, 0.300000001490116, 0.300000001490116, 0.400000002980232, 0.400000002980232, 0.1904762
5, 0.300000001490116, 0.300000001490116, 0.400000002980232, 0.400000002980232, 0.1904762
6, 0.300000001490116, 0.300000001490116, 0.400000002980232, 0.400000002980232, 0.1904762
7, 0.300000001490116, 0.300000001490116, 0.400000002980232, 0.400000002980232, 0.1904762
8, 0.300000001490116, 0.300000001490116, 0.2, 0.2, 0.1190476
9, 0.300000001490116, 0.300000001490116, 0.2, 0.2, 0.1190476
10, 0.300000001490116, 0.300000001490116, 0.2, 0.2, 0.1190476
11, 0.2, 0.2, 0.2, 0.2, 0.0952381
12, 0.2, 0.2, 0.2, 0.2, 0.0952381
13, 0.2, 0.2, 0.2, 0.2, 0.0952381
14, 0.2, 0.2, 0.2, 0.2, 0.0952381
15, 0.2, 0.2, 0.2, 0.2, 0.0952381
16, 0.2, 0.2, 0.2, 0.2, 0.0952381
17, 0.2, 0.2, 0.2, 0.2, 0.0952381
18, 0.2, 0.2, 0.2, 0.2, 0.0952381
19, 0.2, 0.2, 0.2, 0.2, 0.0952381
20, 0.2, 0.2, 0.2, 0.2, 0.0952381
21, 0.2, 0.2, 0.2, 0.2, 0.0952381
22, 0.2, 0.2, 0.2, 0.2, 0.0952381
23, 0.2, 0.2, 0.2, 0.2, 0.0952381
24, 0.2, 0.2, 0.2, 0.2, 0.0952381
25, 0.2, 0.2, 0.2, 0.2, 0.0952381
26, 0.2, 0.2, 0.2, 0.2, 0.0952381
27, 0.2, 0.2, 0.2, 0.2, 0.0952381
28, 0.2, 0.2, 0.2, 0.2, 0.0952381
29, 0.2, 0.2, 0.2, 0.2, 0.0952381
30, 0.2, 0.2, 0.2, 0.2, 0.0952381
31, 0.2, 0.2, 0.2, 0.2, 0.0952381
32, 0.2, 0.2, 0.2, 0.2, 0.0952381
33, 0.2, 0.2, 0.2, 0.2, 0.0952381
34, 0.2, 0.2, 0.2, 0.2, 0.0952381
35, 0.2, 0.2, 0.2, 0.2, 0.0952381
36, 0.2, 0.2, 0.2, 0.2, 0.0952381
37, 0.2, 0.2, 0.2, 0.2, 0.0952381
38, 0.2, 0.2, 0.2, 0.2, 0.0952381
39, 0.2, 0.2, 0.2, 0.2, 0.0952381
40, 0.2, 0.2, 0.2, 0.2, 0.0952381
41, 0.2, 0.2, 0.2, 0.2, 0.0952381
42, 0.2, 0.2, 0.2, 0.2, 0.0952381
43, 0.2, 0.2, 0.2, 0.2, 0.0952381
44, 0.2, 0.2, 0.2, 0.2, 0.0952381
45, 0.2, 0.2, 0.2, 0.2, 0.0952381
46, 0.2, 0.2, 0.2, 0.2, 0.0952381
47, 0.2, 0.2, 0.2, 0.2, 0.0952381
48, 0.2, 0.2, 0.2, 0.2, 0.0952381
49, 0.2, 0.2, 0.2, 0.2, 0.0952381
50, 0.2, 0.2, 0.2, 0.2, 0.0952381
51, 0.2, 0.2, 0.2, 0.2, 0.0952381
52, 0.2, 0.2, 0.2, 0.2, 0.0952381
53, 0.2, 0.2, 0.2, 0.2, 0.0952381
54, 0.2, 0.2, 0.2, 0.2, 0.0952381
55, 0.2, 0.2, 0.2, 0.2, 0.0952381
56, 0.2, 0.2, 0.2, 0.2, 0.0952381
57, 0.2, 0.2, 0.2, 0.2, 0.0952381
58, 0.2, 0.2, 0.2, 0.2, 0.0952381
59, 0.2, 0.2, 0.2, 0.2, 0.0952381
60, 0.2, 0.2, 0.2, 0.2, 0.0952381
61, 0.2, 0.2, 0.2, 0.2, 0.0952381
62, 0.2, 0.2, 0.2, 0.2, 0.0952381
63, 0.2, 0.2, 0.2, 0.2, 0.0952381
64, 0.2, 0.2, 0.2, 0.2, 0.0952381
65, 0.2, 0.2, 0.2, 0.2, 0.0952381
66, 0.2, 0.2, 0.2, 0.2, 0.0952381
67, 0.2, 0.2, 0.2, 0.2, 0.0952381
68, 0.2, 0.2, 0.2, 0.2, 0.0952381
